AH G|jug
AH F|puff,enough,tough,rough,stuff,bluff
AE SH|cash,bash,trash,whiplash,smash,crash
AH D|wicked,mud,blood,blasted,acid,faded,loaded,wasted,naked,wanted,method,hundred,created,excited,hatred,frustrated,granted,existed,incorporated,stupid,started,selected,anointed,ended,arrested,waited,stated,blended,exploded,tasted,needed,landed,cheated,twisted,coated,collected,folded
L TH|health,wealth
AH B|rub,hub
N Z|greens,zones,conversations,john's,clemens,mountains,jones,klines,wagons,rines,scenes,reasons,jeans,queens,means,stones,veins,demons,questions,lines,remains,plains,brains,plans,headlines,guillotines,guns,ones,signs,headphones,orleans,machines,chains,connections,tombstones,bones,beans,burns,shines,screens,heavens,galleons,fountains,pains,havens,cushions,temptations,thorns,opinions,turns,man's,sins,emotions,runs,tunes,lanes,grins,ruins,suggestions,vibrations,elections,canes,operations,nations,lessons,possessions,handguns,bins,omens,resignations,treasons,vines,suspicions,omissions,frowns,begins,moans,horizons,violins
AH N|one,done,run,gun,none,bronson,question,imitation,slogan,fun,lincoln,occupation,nation,jackson,houston,clinton,badman,sensation,generation,weaken,sun,education,manson,danson,peon,son,motion,forsaken,texan,inception,allen,gallon,heaven,situation,brooklyn,direction,inspection,mackson,johnson,fashion,kitchen,mistaken,reason,goin',taken,woman,satisfaction,everyone,communication,motivation,thirty-one,undone,children,open,reflection,confusion,compassion,creation,season,illusion,emotion,forgotten,listen,deception,opinion,companion,confrontation,action,attraction,attention,frozen,ev'ryone,begun,anyone,women,dalton,won,mountain,lion,chicken,broken,happen,satan,intention,consolation,spoken,horizon,desecration,decision,confession,session,stolen,ignition,obsession,solution,misinformation,vision,notion,commotion,million,prison,weapon,caucasian,affection,vacation,ruin,fortune,station,policeman,dragon,wagon,seven,eleven,heroin,someone,religion,london,occasion,protection,dissection,seamen,pigeon,treason,certain,passion,combination,indecision,restitution,fusion,alien,infection,conversation,rotten,ocean,operation,liberation,eden,muffin,cousin,often,destruction,inspiration,good'n,prescription,written,reaction,self-destruction,construction,submission,abortion,madmen,celebration,destination,one',garden,elimination,reparation,damnation,innervision,postman,beethoven,lesson,tradition,superstition,mention,nonfiction,conclusion,possession,fallen,totalitarian,dungeon,profusion,odin,delusion,dominion,showman,golden,abandon,harridan,impression,titan,frighten,person,bun,anticipation,reputation,morrison,oxygen,beacon,poison,luncheon,american
AH M|some,from,em',dumb,magnum,umm,welcome,dum,rum,bum,hmmm,mmm,come,numb,system,freedom,mm,'em,problem,malcolm,slum,wisdom,hmm,mmm-hmmm,rhythm,impergium,ransom,drum,hummm,ummmmmmm,thumb,hum,bottom
AH L|article,model,bottle,popsicle,stable,able,unconventional,comprehendible,angel,capital,hershel,individual,saddle,battle,mescal,fertile,turtle,mental,central,carnival,beautiful,apparel,carol,emotional,evil,gentle,circle,table,deceitful,betrayal,skull,denial,cruel,trouble,bible,abel,fable,jungle,nickel,careful,people,riddle,possible,castle,little,predictable,simple,sequel,incomprehensible,cynical,cannibal,revival,needle,special,pistol,animal,middle,whistle,replaceable,potential,incredible,cradle,trial,comfortable,signal,faithful,pupil,apple,level,devil,sable,fistful,rattle,indestructible,disposable,habitual,rumble,tumble,metal,immortal,ramble,bicycle,diddle,fiddle,shuffle,confidential,plentiful,humble,chemical,physical,indivisible,ritual,anti-social,natural,unstable,eternal,cattle,medieval,cerebral,final,typical,miracle,pitiful,travel,impossible,manimal,terrible,gamble,purple,folderolderiddle,laurel,tickle,giggle,buckle,disciple,rival,double,eagle,gromble,survival,inevitable,vegetable
AH K|tow-truck,buck,cockblock,fuck,luck,truck,chuck,duck,suck,struck,stuck,tuck
L M|realm
N S|sense,dance,chance,presence,tense,residence,silence,vengeance,existence,guidance,innocence,once,circumstance,difference,nonsense,fence,since,patience,stance,acceptance,distance,romance,experience,independence,incantations,deliverance,heathens,trance,violence,evidence,repentance,decadence
IH TH|myth
AH V|love,of,above,dove,low-ow-ow-ow-ove,l-love,love'
AH T|butt,but,cut,gratiot,slut,wallet,what,pocket,blanket,harlot,spirit,minute,casket,basket,habit,picket,secret,pilot,shut,target,velvet,nut,bullet,bigot,corporate
AH S|us,abnoxious,madness,badness,quickness,uniqueness,careless,business,cautious,service,nervous,practice,cactus,loneliness,christmas,advantageous,greatness,darkness,timeless,spacious,jesus,promise,shallowness,precipice,fuss,bus,weakness,helpless,memphis,office,dangerous,contagious,happiness,nothingness,ruckus,emptiness,fearless,witness,texas,palace,axis,genius,restless,hopeless,focus,notice,meaningless,canvas,listless,circus
IH CH|bitch,biiiiiiiitch,ditch,manwich,sandwich,hitch,non-rich,witch,itch
N K|chipmunk
AH P|up,sup,pup,dup,makeup,shakeup
N D|behind,around,ground,sound,pound,stand,hand,land,mind,fiend,round,weekend,kind,homeland,end,understand,thyland,island,and,grand,friend,'round,stoned,grande,comprehend,wind,found,find,burned,blind,underground,happened,bound,pretend,sinned,sand,pined,trend,hound,greyhound,band,southland,undertand,boyfriend,girlfriend,opened,unkind,planned,lend,battleground,spend,fashioned,merry-go-round,refined,blonde,warned,mankind,grind,command,thousand,wand,ma-ah-hah-ah-ind,unwind,merry-go-'round,undefined,canned,second,mainland,rewind,turned,beyond,wound,learned,blend,bend,mend,spurned,crowned,frightened
L T|built,spilt,vault,fault,belt,dealt,felt
L S|panfulls,ancles,else,manacles
AH Z|juices,dollas,faces,pages,promises,fences,'cause,ideas,chances,peaches,corpses,buzz,does,kisses,sentences,circuses,causes,mommas,areas,pieces,fishes,molasses,ashes,patches,stages,oranges,sponges
L P|help
P S|pumps,cops,lips,tips,flips,dips,backups,stops,ships,hopes,whips,hips,relapse,apocalypse,chops,hops,keeps,types,fingertips,tops,mountaintops
OY S|rejoice,voice,choice
OY T|exploit,detroit
M P|pump,limp,pimp,bump,jump,damp,chimp,shrimp,stump,dump,swamp,chump,rump
P T|slapped,whipped,developed,strapped,tripped,raped,ripped,trapped,kidnapped
AW L|howl
OY Z|boys,noise,toys,boyz
NG Z|things,feelings,surroundings,beings,wings,kings,bludgeonings,songs,sings,hangs,strings,stockings,stings,brings,rings,meanings,ceilings
IY SH|leash
AE CH|match,catch,latch
OY D|void,paranoid,asteroid,destroyed
AW N|down,town,brown,greektown,motown,crown,frown,downtown,showdown,clown,uptown,gown,down-ow-own,countdown,noun,stargown,hometown
N T|basement,agent,went,bent,meant,president,lint,want,parliament,pavement,innocent,confident,point,saint,ain't,count,government,don't,cunt,vanzant,hunt,restaurant,silent,mint,event,amusement,student,gent,won't,repent,front,content,brunt,tint,permanent,malevolent,decadent,can't-,rent,plant,resident,accident,complaint,can't,didn't,expedient,relent
EY V|grave,behave,save,slave,cave,wave
NG K|rank,stank,sink,tank,bank,shrink,think,punk,hunk,drink,drunk,tonk,link,trunk,pink,frank,doublethink
OY L|oil,soil
AY N|mine,line,einstein,wine,sign,grapevine,fine,ffff-funkenstein,funkenstein,shine,whine,spine,pine,divine,serpentine,nine,twine,combine,sunshine,design,decline,porcupine,swine,999
AY L|pile,style,buckwhile,smile,file,mile,b-b-bellisle,bell-bell-bellisle,bellisle,while,i'll,reconcile,awhile,nile,vile
AW S|house,penthouse,mouse
AW T|out,doubt,about,shout,throughout,gadabout,pout,'bout,without,spout,rout
AY K|like,dike,pike,turnpike,dyke,hike,bike
ER JH|purge
AY F|life,wife,knife
F TH|25th
AY B|tribe
IY T|street,beat,seat,sweet,feet,complete,deceit,defeat,meet,neat,eat,discreet,backseat,concrete,heat,repeat,cheat,meat,incomplete,wheat,sheet,retreat,backbeat
R N|porn,born,barn,torn,worn,morn'
N AH|desdemona
AY Z|thighs,eyes,lies,realize,size,wise,guys,fries,surprise,flies,disguise,demise,cries,sunrise,highs,ties,despise,rise,skies,lullabies,alibis,compromise,socialize,guise,hypnotize,prize,tantalise,dies,depise,pies,i's,fireflies,apologise,butterflies,apologize
UH SH|tush,bush
AA R|guitar,star,jar,car,far,are,bar,flat-car,scar,superstar,afar,sonar,radar
AY T|site,transvestite,daylight,night,tonight,might,spite,kite,sight,right,uptight,fight,tight,alright,goodnight,light,bright,ignite,flight,firelight,nighty-night,fright,moonlight,candlelight,delight,appetite,bite,firefight,sunlight,midnight,moonlight',parasite,finite,white,cockfight,dynamite,unite
AY R|aspire,inspire,soundfire
AY S|nice,dice,advice,ice,twice,paradise,sacrifice,vice,suffice,price
ER TH|worth,earth,butterworth,birth
IH DH|with
IY P|steep,deep,sleep,seep,keep,asleep,creep,cheap,weep
JH D|changed,rearranged,deranged,discouraged
L IY|lickety-splitly,girly
EH|eh
UW ZH|rouge
N NG|serling
OY|boy,toy,joy,cowboy,destroy,schoolboy,ploughboy
OW|so,go,know,1-9-9-0,bronco,show,slow,flow,intro,ho,o,no,jo',low,custoe,blow,dough,hoe,snow,afro,romeo,solo,halo,bingo,oh,bo,cuervo,metro,doe,yo,rado,hollow,fellow,bordello,chicago,eldorado,bro,wino,sho',pro,grow,colorado,though,mexico,woah,calico,eskimo,undergo,flo,domino,joe,whoa,follow,window,radio,ego,co,sorrow,below,hoh,rainbow,ago,su-sussdio,sussdio,borrow,tomorrow,desperado,toe,throw,pyro,hero,stereo,whoa-oa,whoa-oa-oa,ooh-oh,hello,swallow,minnow,yoh,shadow,pillow,yellow,dobro,wa-ooh,porno,ow,widow,glo,albino,libido,sew,row,meadow,ghetto,wo-,glow,pharaoh,narrow,oh-whoa,oh-oh,ho-whoa,show-whoa-whoa-whoa,dooh,whoa-oh-oh-hoh,sako,rapido,amigo,manifesto,get-go,post-show,paso,banjo,rodeo,laddie-oh,tokyo,whoa-whoa,no-oh-oh,whoa-whoa-whoa,weirdo
AE F|half,laugh,photograph
AH SH|rush,blush,flush
R JH|george
L Z|professionals,daniels,swells,cells,halls,u-hauls,girls,steals,dangles,eels,tools,fools,daffodils,walls,souls,falls,pearls,tables,rules,dolls,troubles,poles,schools,hills,fingernails,wheels,needles,skills,bills,holes,pals,feels,curls,barrels,sails,bells,nails,shells,miles,staples,pills,ills,tolls,medals,smiles,lifestyles,marbles,devils,kills,bowels,spills,waterfalls,balls,heels,sandals
UH K|took,look,book,hook
AA|hahahaha,hah,haha,ya,da,la,ah,fa-la-la-la-la-la-la-la-la,ha,raw,ma,ahh,na,chaaaa,yeah-ha-ha,aaahh,yah,do-yeah,ah-ah-ah-ah,my-hah,ah-hah-hah,ah-hah-hah-hah,ah-ah-ah-hah,ah-ah-hah,ah-hah,ah-ah,hi-hi-hah-hah,hi-hi-hah-haaah,na-na-na-na-na-ah,na-na-na,sha-la-la-la-la-la-la,pa,ahah
AH JH|courage,knowledge,voltage
F S|photographs
UH L|full
AW CH|couch
SH T|trashed,dashed,accomplished
AW TH|mouth,south
UH D|good,neighborhood,hood,understood,could,eastwood,wood,childhood,misunderstood,would,should,stood,hollywood,minglewood
K IY|quicky
D S|cowhands,mends,resounds,skateboards
T S|basements,boots,hits,uplifts,drifts,projects,states,rats,thoughts,outskirts,hurts,streets,waits,lights,hearts,sights,heights,wants,seats,accomplishments,dates,acts,clits,armpits,let's,nights,tastes,oats,regrets,bets,nuts,bracelets,faggots,racists,beats,moments,roots,crafts,ghosts,cents,throats,notes,blankets,meets,sets,lots,exits,spirits,fists,crates,malcontents,shits,splits,parents,wrists,floats,twists,butts,guts,pants,starts,backseats,cigarettes,fruits,ingredients,rights
AA SH|wash
D Z|shades,hands,rides,lands,minds,friends,braids,roads,kids,clouds,words,cards,ends,diamonds,transcends,blades,attitudes,shreds,hoods,fields,heads,stands,woods,seconds,hummingbirds,worlds,moods,glands,fluids,overrides,bleeds,sounds,grounds,needs,steeds,swords,standards,trends,ads,hides,overlords,fades,birds,pounds,turds,crowds,thirds,child's,band-aids,amends,explodes,renegades,deeds,tides,winds,world's,presides,misunderstands,backwards,towards,seeds,backsides
UH T|put
OW N|throne,clone,own,milkbone,alone,blown,unknown,bone,mo-town,known,stone,telephone,phone,moan,brownstone,zone,shone,grown,drone,tone,lone,shown,ozone,crone,sown,cologne,trombone,flown
N JH|change,strange,range,revenge,binge,rearrange
OW L|yolllllllll,soul,control,hole,toll,roll,patrol,a-hole,roll',ol',role,pole,stroll',asshole,whole,coal,roooooll,goal
OW M|home,dome,roam,rome,ho-wome,metronome,foam
EY F|safe,chafe
OW K|joke,smoke,coke,choke,stroke
EY D|fade,aid,grade,laid,paid,made,trade,stayed,glade,afraid,parade,played,lemonade,minutemaid,shade,displayed,blade,spade,betrayed,decayed,underpaid,promenade,brigade
IY G|blitzkrieg
EY K|fake,snake,mistake,shake,make,awake,stake,take,break,headache,ache,heartbreak,handshake,quake
OW D|explode,road,load,railroad,crowed
EY N|complain,domain,pain,insane,plain,maine,brain,rain,chain,main,explain,sane,remain,cain,gain,lane,train,vein,maintain,nightrain,pane,stain,strain,cobain,zane,attain,grain,vain,humane,disdain,plane,regain,rein,cocaine,novocaine,layne,octane,aeroplane
AA D|god,tightwad,bullgod,odd,nod
EY L|ponytail,fail,nightingale,trail,prevail,jail,nail,rail,sail,shoe-tale,vail,bail,tail,whale,pale,frail
EY M|game,name,fame,shame,same,blame,frame,came,lame,dame,flame,aflame,name],claim
